,lr,embedding_dim,batch_size,prop,subevent,role,causation,exp,epoch,best_epoch,AMR,MRR,H@1,H@3,H@5,H@10,exp_count,method,td,syntax
54,0.002,224.0,256.0,0.0,1.0,0.0,1.0,lr_0.002_ed_224_bs_256_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,492,0.1361574638280608,0.0443631575305501,0.0,0.0283842794759825,0.0720524017467248,0.1353711790393013,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
55,0.001,192.0,192.0,0.0,1.0,0.0,1.0,lr_0.001_ed_192_bs_192_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,998,0.1556696937586043,0.0163060361141564,0.0,0.0,0.0,0.0,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
56,0.0001,160.0,192.0,1.0,0.0,0.0,1.0,lr_0.0001_ed_160_bs_192_kg_base_prop_1_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,966,0.0693455567967335,0.2355506321243518,0.1541095890410959,0.2636986301369863,0.3150684931506849,0.3698630136986301,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
57,0.0001,160.0,896.0,1.0,1.0,0.0,1.0,lr_0.0001_ed_160_bs_896_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,990,0.0474422605103635,0.2801843044756344,0.2019650655021834,0.2936681222707423,0.3537117903930131,0.4443231441048035,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
58,0.0005,224.0,192.0,0.0,1.0,0.0,1.0,lr_0.0005_ed_224_bs_192_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,855,0.0709906322743353,0.1985116324362032,0.1124454148471615,0.2063318777292576,0.2718340611353712,0.3635371179039301,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
59,0.001,192.0,256.0,0.0,0.0,0.0,1.0,lr_0.001_ed_192_bs_256_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,809,0.1211284105783068,0.172870041796544,0.0856164383561643,0.184931506849315,0.2568493150684932,0.3424657534246575,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
60,0.002,160.0,896.0,0.0,1.0,0.0,1.0,lr_0.002_ed_160_bs_896_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,891,0.170291888321256,0.0305829407104539,0.0010917030567685,0.0021834061135371,0.0349344978165938,0.0917030567685589,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
61,0.0005,224.0,896.0,0.0,1.0,0.0,1.0,lr_0.0005_ed_224_bs_896_kg_base_prop_0_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,1000,0.0922827249841866,0.1631235122526307,0.0862445414847161,0.1670305676855895,0.2259825327510917,0.3307860262008734,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
62,0.002,224.0,192.0,1.0,1.0,0.0,1.0,lr_0.002_ed_224_bs_192_kg_base_prop_1_subevent_1_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,61,59,0.2154417699861326,0.0555213842563684,0.0207423580786026,0.0491266375545851,0.074235807860262,0.1320960698689956,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
63,0.002,224.0,256.0,0.0,0.0,0.0,1.0,lr_0.002_ed_224_bs_256_kg_base_prop_0_subevent_0_role_0_causation_1_syntax_hyper_relational_rdf_star.csv,1001,521,0.1843393620329324,0.0417373513123032,0.0,0.0,0.0034246575342465,0.1643835616438356,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
