,prop,subevent,role,causation,hp,metric,corr,pval,exp_count,method,td,syntax
57,1.0,1.0,0.0,1.0,lr,H@3,-0.624856480083335,2.0631999562681887e-06,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
58,1.0,1.0,0.0,1.0,lr,H@5,-0.6371364651697147,1.1210525726567318e-06,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
59,1.0,1.0,0.0,1.0,lr,H@10,-0.720562992816013,7.717187059191806e-09,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
60,1.0,1.0,0.0,1.0,embedding_dim,AMR,0.42177761677368514,0.002828259926277232,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
61,1.0,1.0,0.0,1.0,embedding_dim,MRR,-0.05709653327504035,0.6998938022928793,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
62,1.0,1.0,0.0,1.0,embedding_dim,H@1,-0.06355154012142586,0.667831454257199,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
63,1.0,1.0,0.0,1.0,embedding_dim,H@3,-0.05157666147286203,0.7277303617602062,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
64,1.0,1.0,0.0,1.0,embedding_dim,H@5,-0.07554347719896963,0.609831068405688,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
65,1.0,1.0,0.0,1.0,embedding_dim,H@10,-0.004606309585303027,0.9752118327368515,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
66,1.0,1.0,0.0,1.0,batch_size,AMR,-0.047077723572169335,0.7506801323194953,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
67,1.0,1.0,0.0,1.0,batch_size,MRR,0.15199379324728957,0.3024034397009432,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
68,1.0,1.0,0.0,1.0,batch_size,H@1,0.1486512709488425,0.313284092155899,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
69,1.0,1.0,0.0,1.0,batch_size,H@3,0.17353387713832127,0.23817473454976446,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
70,1.0,1.0,0.0,1.0,batch_size,H@5,0.1978016058710624,0.17777262371701547,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
71,1.0,1.0,0.0,1.0,batch_size,H@10,0.18703689262637874,0.20303934128698742,48,ILP,simple-triple+text+hr-triple,hyper_relational_rdf_star
